Rep,species,Month,Un24,Rem24,Rem48,BrdCell,Incomi,Outg,Guard,Mite
1,1,1,0.707106781,5.431390246,5.522680509,5.431390246,4.062019202,4.062019202,1.58113883,1.58113883
1,1,2,2.121320344,4.636809248,5.049752469,32.41141774,2.34520788,5.787918451,2.34520788,3.240370349
1,1,3,1.58113883,4.636809248,5.069516742,39.36686424,1.58113883,2.121320344,0.707106781,1.58113883
1,1,4,1.224744871,5.244044241,5.431390246,32.99242337,2.738612788,5.873670062,1.58113883,2.121320344
1,1,5,1.224744871,5.049752469,5.244044241,23.54782368,4.062019202,4.636809248,1.224744871,6.745368782
1,1,6,2.549509757,3.674234614,4.847679857,55.68213358,3.082207001,11.89537725,3.391164992,6.964194139
1,1,7,1.870828693,3.391164992,5.338539126,58.57047038,3.535533906,7.842193571,2.121320344,3.391164992
1,1,8,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,5.431390246,1.224744871,4.847679857
1,1,9,2.34520788,3.807886553,4.636809248,0.707106781,3.391164992,3.082207001,2.121320344,1.224744871
1,2,1,2.34520788,4.527692569,5.522680509,21.12463017,3.240370349,5.958187644,2.738612788,0.707106781
1,2,2,0.707106781,5.522680509,5.522680509,6,2.549509757,3.937003937,1.870828693,0.707106781
1,2,3,1.58113883,4.949747468,5.049752469,7.123903424,3.391164992,4.949747468,1.224744871,2.915475947
1,2,4,1.224744871,5.14781507,5.431390246,25.1694259,2.915475947,6.670832032,1.58113883,4.183300133
1,2,5,0.707106781,5.522680509,5.522680509,19.17028951,3.807886553,5.049752469,1.58113883,7.71362431
1,2,6,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
1,2,7,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
1,2,8,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
1,2,9,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
2,1,1,0.707106781,5.431390246,5.522680509,25.66125484,6.892024376,8.91627725,1.870828693,0.707106781
