Year,Genotype,Replication,Germination (%),Pod length (cm),Pod diameter (mm),Individual pod weight (gm),Seed/pod (number),Green Pod/plant (number),Green Pod Yield/plant (kg),Green pod yield/plot (kg),Green pod yield (mt/ha),Dry Pod/plant (number),Dry pod/plot (number),Dry pod yield/plant(gm),Total dry pod yield/plot (kg),Total dry grain yield/plot(kg),Dry grain yield (mt/ha)
1,1,1,93.75,13.01,10.48,9.90,6.18,51.50,0.60,19.30,34.32,50.00,1600.00,94.75,3.03,0.33,0.55
1,2,1,100.00,15.96,9.99,17.85,8.83,102.00,0.95,30.42,50.69,99.00,3168.00,200.32,6.41,0.71,1.18
1,3,1,90.63,11.84,10.74,8.68,6.03,42.50,0.79,25.38,46.68,41.00,1312.00,129.08,4.13,0.56,0.93
1,4,1,100.00,20.19,10.42,11.73,7.83,44.75,0.57,18.29,30.49,40.00,1280.00,150.01,4.80,0.54,0.90
1,5,1,100.00,17.33,9.20,10.23,8.30,68.75,0.39,12.32,20.53,67.00,2144.00,150.00,4.80,0.29,0.49
1,6,1,87.50,16.40,10.24,10.70,7.40,52.50,0.42,13.58,25.86,52.00,1664.00,146.75,4.70,0.59,0.98
2,1,1,87.50,14.24,15.37,13.93,6.37,71.00,0.40,12.86,24.50,40.00,1280.00,84.75,2.71,0.29,0.48
2,2,1,87.50,17.31,9.73,15.67,8.90,64.50,0.56,18.00,34.29,72.00,2304.00,150.00,4.80,0.70,1.17
2,3,1,81.25,11.40,14.40,8.53,5.20,36.25,0.22,7.02,14.98,40.75,1304.00,128.75,4.12,0.67,1.12
2,4,1,84.38,22.45,11.54,15.57,8.77,36.00,0.38,12.22,24.15,37.75,1208.00,147.25,4.71,0.52,0.87
2,5,1,75.00,18.63,9.48,12.87,8.23,46.75,0.39,12.42,28.81,70.50,2256.00,149.25,4.78,0.54,0.90
2,6,1,71.88,17.42,8.77,12.60,8.47,56.50,0.30,9.66,23.43,49.50,1584.00,114.00,3.65,0.40,0.66
3,1,1,100.00,12.00,10.57,7.99,3.63,68.80,0.45,14.28,23.81,36.00,1152.00,95.90,2.04,1.48,2.47
3,2,1,93.75,16.10,9.80,11.71,7.30,112.40,0.92,29.37,48.95,36.80,1177.60,91.10,2.06,1.76,2.94
3,3,1,100.00,11.60,10.49,7.65,5.40,53.20,0.37,11.81,19.68,31.40,1004.80,130.70,3.12,1.94,3.24
3,4,1,100.00,17.80,10.33,16.46,7.40,63.00,0.63,20.18,33.63,33.40,1068.80,58.60,2.58,2.97,4.96
3,5,1,90.63,15.20,9.97,8.05,6.50,84.40,0.66,21.24,35.41,34.60,1107.20,47.00,0.74,1.22,2.03
3,6,1,100.00,14.90,9.54,11.10,6.40,92.00,0.79,25.22,42.04,42.00,1344.00,29.40,1.04,1.41,2.35
1,1,2,93.75,13.45,10.53,10.28,6.18,43.50,0.35,11.18,19.88,42.00,1344.00,66.25,2.12,0.50,0.83
1,2,2,93.75,17.10,10.19,16.50,7.90,68.50,0.66,21.14,37.58,67.00,2144.00,200.00,6.40,1.24,2.07
1,3,2,93.75,11.13,10.44,8.27,5.38,43.25,0.32,10.23,18.19,42.00,1344.00,130.00,4.16,0.49,0.82
1,4,2,100.00,19.70,10.42,12.00,7.53,44.00,0.53,17.02,28.37,44.00,1408.00,135.00,4.32,0.60,1.00
1,5,2,90.63,16.66,9.63,9.45,7.23,78.25,0.40,12.77,23.48,77.00,2464.00,170.00,5.44,0.45,0.75
1,6,2,96.88,15.94,9.96,9.10,7.50,63.25,0.30,9.60,16.52,60.00,1920.00,165.00,5.28,0.60,1.00
