V1,V2,V3,V4,V5,V1.1,V2.1,V3.1,V4.1,V5.1
250, 280, 284, 282, 289,116, 116, 140, 120,
225, 250, 236, 234, 265,132, 149, 126, 157,
251, 260, 286, 273,,132, 130, 160, 154,
225, 227, 249, 245, 239,115, 98, 101, 119, 106
238, 236, 253, 253, 260,107, 130, 102, 127, 136
230, 260, 266, 275, 265,133, 131, 156, 160, 164
242, 275, 290, 275, 265,133, 131, 158, 160, 164
242, 275, 290, 275, 260,122, 140, 185, 150, 123
285, 297, 282, 292, 311,138, 128, 134, 140, 138
336, 310, 277, 307, 316,172, 122, 153, 130, 157
221, 228, 263, 250, 250,110, 125, 114, 121, 138
270, 267, 249, 280, 250,103, 116, 106, 133,
292, 280, 310, 300, 296,165, 121, 173, 163, 151
283, 300, 268, 292, 247,172, 135, 163, 163, 146
300, 316, 317, 287, 300,153, 133, 163, 125, 125
333, 283, 302, 302, 302,180, 156, 182, 182, 177
281, 275, 263, 299, 292,116, 144, 160, 135, 143
260, 296, 255, 250, 256,102, 134, 135, 94, 136
320, 322, 333,,,165, 166, 181,,
296, 285, 276,,,149, 109, 92,,
275, 297, 300,,,172, 150,,,
275, 270, 270,,,160, 140, 140,,
252, 286, 276,,,111, 140, 136,,
280, 299, 281,,,140, 135, 160,,
236, 270, 260,,,84, 107, 120,,
262, 237, 265,,,136, 127, 145,,
280, 248, 281,,,110, 114, 144,,
283, 292, 277,,,138, 133, 148,,
255, 243, 270,,,127, 130, 136,,
257, 281, 246,,,140, 133, 117,,
280, 306, 277,,,158, 162, 148,,
282, 270, 286,,,128, 126, 139,,
253, 270, 275,,,147, 162, 153,,
263, 297, 300,,,137, 160, 156,,
240, 266, 255,,,143, 156, 134,,
