SN,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Unit
1,117,105,112,113,111,42,51,53,54,62,Inch
2,102,107.5,120,113,107.5,52,56,51.5,57,53,Inch
3,98,110,111,112,108,44,51,51,46,54,Inch
4,89,87,92,98,97,41,42,44,47,52,Inch
5,113,107,112,111,110,45,49,57,49,50,Inch
6,113,122,101,104,114,46,62,52,50,56,Inch
7,114,117,115.5,120,105,58,50,56,62,47,Inch
8,101,115,107,115,108,56,71,64,73,67,Inch
9,116,128,134,119,,68,75,80,67,,Inch
10,90,98,103,98,111,40,46,58,40,62,Inch
11,92,96,95,89,107,40,46,49,57,52,Inch
12,82,87,103,101,97,39,48,62,45,55,Inch
13,101,99,95,99,95,50,54,50,60,51,Inch
14,101,113,113,98,,52,51,52,46,,Inch
15,100,85,98,101,111,59,42,52,50,52,Inch
16,112,115,108,108,112,61,58,56,56,54,Inch
17,92,94,87,93,97,53,49,45,58,56,Inch
18,107,107,115,110,108,55,65,65,60,59,Inch
19,115,109,118,118,123,53,62,62,53,65,Inch
20,117,122,111,113,124,59,60,53,70,61,Inch
21,101,118,118,115,103,47,54,56,58,47,Inch
22,87,95,105,101,113,46,50,55,57,73,Inch
23,88,94,109,112,110,42,53,57,54,54,Inch
24,121,120,118,129,117,49,59,56,57,62,Inch
25,105,100,103,100,106,40,38,51,55,48,Inch
26,99,93,103,107,114,49,49,57,59,61,Inch
27,97,106,98,101,102,58,63,59,55,61,Inch
28,97,111,111,110,101,42,52,47,49,62,Inch
29,107,126,111,118,113,49,65,54,64,65,Inch
30,105,101,118,115,118,63,59,74,65,74,Inch
31,107,98,105,103,108,52,54,57,51,63,Inch
32,93,102,103,107,102,56,64,56,62,50,Inch
33,112,107,116,116,112,61,58,66,66,59,Inch
34,105,127,111,118,104,55,64,48,69,57,Inch
35,99,103,102,115,109,52,56,54,65,67,Inch
36,94,101,86,99,107,41,54,48,52,65,Inch
37,113,107,112,119,,54,64,57,55,,Inch
38,107,113,115,129,113,48,43,48,48,43,Inch
39,110,98,110,113,102,45,43,54,59,57,Inch
40,94,105,98,101,101,54,59,48,58,63,Inch
41,91,89,82,83,91,47,47,43,43,43,Inch
42,101,103,103,113,90,47,54,52,64,54,Inch
43,106,120,115,120,105,68,60,61,67,55,Inch
44,107,109,115,115,112,60,54,63,57,59,Inch
45,97,97,107,101,101,55,47,62,54,53,Inch
46,105,104,110,107,108,50,47,52,52,49,Inch
47,98,91,105,92,107,59,52,69,59,62,Inch
48,105,104,118,102,117,57,65,76,54,68,Inch
49,96,90,89,102,103,64,54,54,98,57,Inch
50,97,103,110,91,108,51,55,63,51,58,Inch
51,250,280,284,282,289,116,116,140,120,,Cent
52,225,250,236,234,265,132,149,126,157,,Cent
53,251,260,286,273,,132,130,160,154,,Cent
54,225,227,249,245,239,115,98,101,119,106,Cent
55,238,236,253,253,260,107,130,102,127,136,Cent
56,230,260,266,275,265,133,131,156,160,164,Cent
57,242,275,290,275,265,133,131,158,160,164,Cent
58,242,275,290,275,260,122,140,185,150,123,Cent
59,285,297,282,292,311,138,128,134,140,138,Cent
60,336,310,277,307,316,172,122,153,130,157,Cent
61,221,228,263,250,250,110,125,114,121,138,Cent
62,270,267,249,280,250,103,116,106,133,,Cent
63,292,280,310,300,296,165,121,173,163,151,Cent
64,283,300,268,292,247,172,135,163,163,146,Cent
65,300,316,317,287,300,153,133,163,125,125,Cent
66,333,283,302,302,302,180,156,182,182,177,Cent
67,281,275,263,299,292,116,144,160,135,143,Cent
68,260,296,255,250,256,102,134,135,94,136,Cent
69,320,322,333,,,165,166,181,,,Cent
70,296,285,276,,,149,109,92,,,Cent
71,275,297,300,,,172,150,,,,Cent
72,275,270,270,,,160,140,140,,,Cent
73,252,286,276,,,111,140,136,,,Cent
74,280,299,281,,,140,135,160,,,Cent
75,236,270,260,,,84,107,120,,,Cent
76,262,237,265,,,136,127,145,,,Cent
77,280,248,281,,,110,114,144,,,Cent
78,283,292,277,,,138,133,148,,,Cent
79,255,243,270,,,127,130,136,,,Cent
80,257,281,246,,,140,133,117,,,Cent
81,280,306,277,,,158,162,148,,,Cent
82,282,270,286,,,128,126,139,,,Cent
83,253,270,275,,,147,162,153,,,Cent
84,263,297,300,,,137,160,156,,,Cent
85,240,266,255,,,143,156,134,,,Cent
86,267,260,273,,,131,146,150,,,Cent
87,273,282,284,304,,126,161,181,186,,Cent
88,280,288,276,,,171,160,172,,,Cent
89,235,238,275,285,,101,118,142,140,,Cent
90,302,299,318,,,152,155,171,,,Cent
91,263,267,257,,,103,127,116,,,Cent
92,272,281,334,,,112,148,137,,,Cent
93,281,314,269,283,,161,190,158,155,,Cent
94,267,264,238,,,134,127,130,,,Cent
95,315,290,318,313,,170,156,195,146,,Cent
96,251,290,239,285,,141,178,102,160,,Cent
97,220,227,260,273,,134,119,139,161,,Cent
98,275,253,263,,,137,128,142,,,Cent
99,260,278,292,271,,137,145,152,142,,Cent
100,282,246,272,,,118,122,124,,,Cent
101,99,100,90,89,90,52,52,48,38,40,Inch
102,103,104,107,102,,48,46,54,53,,Inch
103,98,111,110,109,114,50,59,56,53,66,Inch
104,87,102,104,101,,45,51,43,52,,Inch
105,89,80,109,109,,57,40,46,60,,Inch
106,113,112,114,108,,54,55,56,55,,Inch
107,120,120,109,113,,59,59,56,57,,Inch
108,99,97,101,95,,55,52,63,47,,Inch
109,107,120,118,105,,62,64,65,52,,Inch
110,125,117,115,114,,75,69,65,63,,Inch
111,109,108,104,103,,70,68,59,61,,Inch
112,111,115,111,117,,56,61,59,58,,Inch
113,107,113,113,110,,51,58,60,64,,Inch
114,115,117,115,116,,61,64,61,63,,Inch
115,114,109,120,123,,59,63,68,60,,Inch
116,111,109,115,107,,65,55,69,53,,Inch
117,111,114,115,109,,51,55,46,52,,Inch
118,108,115,123,110,,62,63,69,59,,Inch
119,110,103,113,103,,61,60,67,63,,Inch
120,105,111,105,113,,55,63,58,62,,Inch
121,270,280,260,,,150,142,140,,,Cent
122,245,240,228,238,,99,100,104,100,,Cent
123,254,282,295,,,117,128,112,,,Cent
124,266,285,255,283,,191,202,184,157,,Cent
125,257,250,255,262,,130,125,140,138,,Cent
126,250,261,224,243,,137,132,109,108,,Cent
127,262,252,257,,,137,146,150,,,Cent
128,283,290,281,290,,132,151,133,137,,Cent
129,290,293,300,272,,136,140,156,133,,Cent
130,272,260,273,,,140,141,143,,,Cent
131,320,322,295,,,167,179,135,,,Cent
132,270,252,253,,,131,150,143,,,Cent
133,264,275,283,270,,129,140,150,149,,Cent
134,297,246,263,,,142,105,147,,,Cent
135,310,275,228,270,,149,139,101,142,,Cent
136,254,258,258,,,137,156,144,,,Cent
137,271,275,300,272,,134,140,162,121,,Cent
138,301,284,260,290,,176,147,148,161,,Cent
139,245,271,300,,,161,153,152,,,Cent
140,293,287,294,304,,132,154,132,154,,Cent
141,288,270,283,,,134,129,135,,,Cent
142,315,280,325,,,176,179,190,,,Cent
143,261,237,281,270,,128,119,159,132,,Cent
144,268,287,282,,,134,157,154,,,Cent
145,295,266,255,,,153,137,106,,,Cent
146,310,308,300,,,145,139,151,,,Cent
147,305,233,283,294,,172,146,168,150,,Cent
148,305,293,320,330,,146,126,147,190,,Cent
149,276,280,262,282,,130,112,133,153,,Cent
150,214,253,238,257,,87,140,132,133,,Cent
