H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
283.14,254.1,271.03999999999996,273.46,268.62,101.64,123.42,128.26,130.68,150.04
246.84,260.15,290.4,273.46,260.15,125.84,135.51999999999998,124.63,137.94,128.26
237.16,266.2,268.62,271.03999999999996,261.36,106.47999999999999,123.42,123.42,111.32,130.68
215.38,210.54,222.64,237.16,234.73999999999998,99.22,101.64,106.47999999999999,113.74,125.84
273.46,258.94,271.03999999999996,268.62,266.2,108.89999999999999,118.58,137.94,118.58,121
273.46,295.24,244.42,251.68,275.88,111.32,150.04,125.84,121,135.51999999999998
275.88,283.14,279.51,290.4,254.1,140.35999999999999,121,135.51999999999998,150.04,113.74
244.42,278.3,258.94,278.3,261.36,135.51999999999998,171.82,154.88,176.66,162.14
280.71999999999997,309.76,324.28,287.98,,164.56,181.5,193.6,162.14,
217.79999999999998,237.16,249.26,237.16,268.62,96.8,111.32,140.35999999999999,96.8,150.04
222.64,232.32,229.9,215.38,258.94,96.8,111.32,118.58,137.94,125.84
198.44,210.54,249.26,244.42,234.73999999999998,94.38,116.16,150.04,108.89999999999999,133.1
244.42,239.57999999999998,229.9,239.57999999999998,229.9,121,130.68,121,145.2,123.42
244.42,273.46,273.46,237.16,,125.84,123.42,125.84,111.32,
242,205.7,237.16,244.42,268.62,142.78,101.64,125.84,121,125.84
271.03999999999996,278.3,261.36,261.36,271.03999999999996,147.62,140.35999999999999,135.51999999999998,135.51999999999998,130.68
222.64,227.48,210.54,225.06,234.73999999999998,128.26,118.58,108.89999999999999,140.35999999999999,135.51999999999998
258.94,258.94,278.3,266.2,261.36,133.1,157.29999999999998,157.29999999999998,145.2,142.78
278.3,263.78,285.56,285.56,297.65999999999997,128.26,150.04,150.04,128.26,157.29999999999998
283.14,295.24,268.62,273.46,300.08,142.78,145.2,128.26,169.4,147.62
244.42,285.56,285.56,278.3,249.26,113.74,130.68,135.51999999999998,140.35999999999999,113.74
210.54,229.9,254.1,244.42,273.46,111.32,121,133.1,137.94,176.66
212.95999999999998,227.48,263.78,271.03999999999996,266.2,101.64,128.26,137.94,130.68,130.68
292.82,290.4,285.56,312.18,283.14,118.58,142.78,135.51999999999998,137.94,150.04
254.1,242,249.26,242,256.52,96.8,91.96,123.42,133.1,116.16
239.57999999999998,225.06,249.26,258.94,275.88,118.58,118.58,137.94,142.78,147.62
234.73999999999998,256.52,237.16,244.42,246.84,140.35999999999999,152.46,142.78,133.1,147.62
234.73999999999998,268.62,268.62,266.2,244.42,101.64,125.84,113.74,118.58,150.04
258.94,304.92,268.62,285.56,273.46,118.58,157.29999999999998,130.68,154.88,157.29999999999998
254.1,244.42,285.56,278.3,285.56,152.46,142.78,179.07999999999998,157.29999999999998,179.07999999999998
